stno,yyyymmdd,TX01,PP01,SS01,UV01,UV03,date,month
467490,20251001,28.8,0.0,8.1,7.32,110000,2025-10-01,10
467490,20251002,28.9,0.0,8.0,8.26,110000,2025-10-02,10
467490,20251003,28.9,0.0,7.4,8.01,110000,2025-10-03,10
467490,20251004,29.4,0.0,9.3,9.22,130000,2025-10-04,10
467490,20251005,29.3,0.0,8.7,8.32,110000,2025-10-05,10
467490,20251006,29.2,0.0,7.2,7.74,120000,2025-10-06,10
467490,20251007,29.5,0.0,6.6,6.87,120000,2025-10-07,10
467490,20251008,29.6,0.0,5.1,5.74,110000,2025-10-08,10
467490,20251009,29.2,0.0,3.3,6.34,130000,2025-10-09,10
467490,20251010,29.0,0.0,7.1,8.11,120000,2025-10-10,10
467490,20251011,29.3,0.0,9.4,8.9,120000,2025-10-11,10
467490,20251012,28.5,0.0,9.2,7.93,120000,2025-10-12,10
467490,20251013,28.9,0.0,8.9,7.04,110000,2025-10-13,10
467490,20251014,29.2,0.0,9.7,8.87,120000,2025-10-14,10
467490,20251015,28.9,0.0,5.2,7.01,120000,2025-10-15,10
467490,20251016,28.7,0.0,5.8,4.68,130000,2025-10-16,10
467490,20251017,29.1,0.0,8.3,8.0,120000,2025-10-17,10
467490,20251018,29.2,0.0,9.3,6.47,120000,2025-10-18,10
467490,20251019,28.4,0.0,3.0,4.89,130000,2025-10-19,10
467490,20251020,27.0,1.5,3.3,10.3,120000,2025-10-20,10
467490,20251021,25.4,0.0,5.6,9.73,120000,2025-10-21,10
467490,20251022,25.1,0.0,5.3,9.81,120000,2025-10-22,10
467490,20251023,26.2,0.0,1.2,6.57,120000,2025-10-23,10
467490,20251024,26.1,0.0,3.7,8.86,120000,2025-10-24,10
467490,20251025,26.6,0.0,8.5,8.18,120000,2025-10-25,10
467490,20251026,25.9,0.0,9.9,8.41,120000,2025-10-26,10
467490,20251027,24.4,0.5,0.2,4.84,120000,2025-10-27,10
467490,20251028,22.9,5.0,0.0,4.15,130000,2025-10-28,10
467490,20251029,25.3,0.0,8.2,7.72,120000,2025-10-29,10
467490,20251030,26.4,0.0,2.7,4.58,110000,2025-10-30,10
467490,20251031,25.4,0.0,9.1,7.65,120000,2025-10-31,10
467490,20251101,25.1,0.0,3.8,5.35,140000,2025-11-01,11
467490,20251102,24.3,0.0,0.9,4.52,140000,2025-11-02,11
467490,20251103,23.8,0.0,3.8,7.45,130000,2025-11-03,11
467490,20251104,24.0,0.0,4.6,6.95,120000,2025-11-04,11
467490,20251105,25.4,0.0,9.9,8.17,120000,2025-11-05,11
467490,20251106,26.1,0.0,9.7,7.26,120000,2025-11-06,11
467490,20251107,27.1,0.0,9.8,7.06,120000,2025-11-07,11
467490,20251108,26.2,0.0,2.8,5.51,130000,2025-11-08,11
467490,20251109,26.4,0.0,6.3,6.89,120000,2025-11-09,11
467490,20251110,25.2,0.0,0.9,4.34,110000,2025-11-10,11
467490,20251111,25.3,0.0,2.5,5.21,130000,2025-11-11,11
467490,20251112,24.1,0.5,0.0,4.17,140000,2025-11-12,11
467490,20251113,24.0,1.5,2.5,5.44,110000,2025-11-13,11
467490,20251114,23.8,0.0,9.8,7.31,120000,2025-11-14,11
467490,20251115,24.0,0.0,9.8,6.94,120000,2025-11-15,11
467490,20251116,24.1,0.0,9.8,7.03,120000,2025-11-16,11
467490,20251117,24.1,0.0,9.7,7.17,120000,2025-11-17,11
467490,20251118,20.9,0.0,4.3,6.61,120000,2025-11-18,11
467490,20251119,17.3,0.0,0.1,2.74,120000,2025-11-19,11
467490,20251120,19.2,0.0,5.1,6.53,120000,2025-11-20,11
467490,20251121,20.8,0.0,1.9,4.05,120000,2025-11-21,11
467490,20251122,21.3,0.0,9.9,6.01,120000,2025-11-22,11
467490,20251123,22.0,0.0,10.0,6.3,120000,2025-11-23,11
467490,20251124,22.8,0.0,9.5,5.65,120000,2025-11-24,11
467490,20251125,21.3,0.0,9.5,5.91,120000,2025-11-25,11
467490,20251126,20.2,0.0,7.7,5.62,120000,2025-11-26,11
467490,20251127,20.3,0.0,2.0,3.68,140000,2025-11-27,11
467490,20251128,20.3,0.0,0.8,4.3,110000,2025-11-28,11
467490,20251129,20.9,0.0,9.3,5.8,120000,2025-11-29,11
467490,20251130,22.0,0.0,4.2,6.06,120000,2025-11-30,11
